ndb_no	shrt_desc	energy_kcal	nutval
4679	OIL,PAM COOKING SPRAY,ORIGINAL	0.878049	-0.709076
4639	SALAD DRSNG,RANCH DRSNG,COMM,REG	0.536585	-0.698438
17005	LAMB,DOM,COMP OF RTL CUTS,FAT,1/4"FAT,CHOIC,RAW	0.737251	-0.693432
42116	CREAMY DRSNG,MADE W/SOUR CRM AND/OR BTTRMLK&OIL,RED CAL	0.177384	-0.690437
6600	CAMPBELL SOUP COMPANY,PACE,GRN TACO SAU	0.0277162	-0.68898
4143	SALAD DRSNG,ITALIAN DRSNG,COMM,REG,WO/ SALT	0.323725	-0.688838
4695	VEG-OIL SPRD,STICK/TUB/BOTTLE,60% FAT,W/ ADDED VITAMIN D	0.593126	-0.681577
43331	SALAD DRSNG,BACON&TOMATO	0.361419	-0.669252
17066	LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,FAT,RAW	0.709534	-0.660542
17093	VEAL,COMP OF RTL CUTS,FAT,CKD	0.711752	-0.658746
4114	SALAD DRSNG,ITALIAN DRSNG,COMM,REG	0.322616	-0.651272
1053	CREAM,FLUID,HVY WHIPPING	0.382483	-0.644861
17285	LAMB,AUS,IMP,FRSH,FAT,CKD	0.708426	-0.61177
42256	MARGARINE-LIKE,VEG OIL SPRD,STK OR TUB,SWTND	0.592018	-0.611087
4689	SALAD DRSNG,MAYO,LT,SMART BALANCE,OMEGA PLUS LT	0.36918	-0.603035
43297	PORK,ORIENTAL STYLE,DEHYD	0.681818	-0.592738
17270	VEAL,BREAST,FAT,CKD	0.577605	-0.592305
35086	WHALE,BOWHEAD,SKN & SUBCUTANEOUS FATMUKTUK(ALASKA NATIVE)	0.515521	-0.585949
13020	BEEF,RTL CUTS,FAT,CKD	0.75388	-0.55921
1052	CREAM,FLUID,LT WHIPPING	0.323725	-0.559099
10895	PORK,CURED,HAM,FAT,BNLESS,UNHTD	0.570953	-0.537001
10007	PORK,FRSH,FAT,CKD	0.672949	-0.519944
10005	PORK,FRSH,BELLY,RAW	0.574279	-0.504479
4120	SALAD DRSNG,FRENCH DRSNG,COMM,REG	0.506652	-0.48705
17067	LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,FAT,CKD	0.649667	-0.485602
4030	SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS	0.431264	-0.471844
4141	SALAD DRSNG,FRENCH DRSNG,COMM,REG,WO/ SALT	0.508869	-0.461999
10894	PORK,CURED,HAM,FAT,BNLESS,HTD	0.562084	-0.45567
10942	PORK,FRSH,ENHANCED,COMP OF FAT,RAW	0.563193	-0.455092
